Bis, The End Starts Today
DJ Mike F., talkover #2
The Big Bay, Before The Rain Comes
Wet The Rope, Alarms Are Obsolete
Catching Hell, Twilight Mind
Julie Ruin, Oh Come On
Kommune, Immigrato
DJ Mike F., talkover #3
Erik Nervous, Comfortable
World Heroes, Presque Isle
Porcelain, Frozen Sea
Taqbir, Al-Zuki Akbar
Victory At Sea, Old Plans
Golden City, Cars In Space
worbler-autodj, autodj » cmd » encoder-shutdown
grahams, Show will begin shortly
Rosiere Moseley, programme theme
Tenacious D, They Fucked Our Asses
!!!, There's No Fucking Rules, Dude
Dub Trio, Fuck What You Heard
Wesley Willis, Fuck With Me And Find Out
Cocksure, TKO Mindfuck (feat. Richard 23)
Sparks, Please Don't Fuck Up My World
Swans, You Fucking People Make Me Sick
Dead Kennedys, Nazi Punks Fuck Off
Faith No More, Motherfucker
N.W.A., Fuck tha Police
John Zorn, Fuck the Facts
Beck, Today Has Been a Fucked up Day
Beastie Boys, Hey Fuck You
PJ Harvey, Who the Fuck?
Bad Religion, Fuck Armaggedon...This Is Hell
Rory, Radio Drop
The Bug, Fuck You (feat. Warrior Queen)
Faith No More, I Wanna Fuck Myself
Hogpig, Fuck You Mike Love
Melvins, I Fuck Around
Lewis Black, Who's Fucking Who
Consolidated, I Reckon You Should Shut the Fuck Up and Play Some Music
Earfist, Fucking Angry
Nine Inch Nails, Fist Fuck (Remixed By J.G. Thirlwell)
Atari Teenage Riot, Fuck All
CSS, Fuck Everything
Mclusky, Fuck This Band
Death Grips, Fuck That
Pigface, Fuck It Up
Jay and Silent Bob, Fuck Song
DJ Rashad, I Don't Give A Fuck
Peaches, Fuck the Pain Away
Lily Allen, Fuck You
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
Team America, America, Fuck Yeah (Bummer Remix)
worbler-autodj, autodj » cmd » encoder-startup
Leyla Blue, Fuck Yourself
Fencer, All I Do
Jack White, Bless Yourself
Love &amp; Rockets, Ball Of Confusion
The Cure, Endsong
The Cure, A Fragile Thing (live on BBC2)
Matthew Sweet, Girlfriend
Lenny Kravitz, Fly Away
Fishbone, Racist POS
They Might Be Giants, Your Racist Friend
Some Guy, I'm Trans And Coming Out Song
THOT Squad ft Stephanie Hunter, Hoes Depressed
Jungle Pussy, Bling Bling
The Linda Lindas, No Obligation
Kid Ink, Get You High Today
Nirvana, Love Buzz
Rage Against The Machine, People Of The Sun
Ryder B, I Wanna Be Your Dog (live)
Kiss, Black Diamond (live)
Metallica ft Lady Gaga, Moth To The Flame (live)
Antonio Sanchez ft Trent Reznor &amp; Atticus Ross, I Think We're Past That Now
Trent Reznor &amp; Atticus Ross, Compress Regress
Memphis May Fire, Infection
Die Antwoord &amp; Leo Marochioli, Fatty Boom Boom
A Perfect Circle, The Doomed
Handsome Furs, Passport Kontrol
Fozzie, America
The Mountain Goats, Training Montage
Future Teens, Same Difference
Trash Rabbit, Way Out West
Papas Fritas, Lame to Be (7" Mix)
Hallelujah The Hills, Do You Have Romantic Courage?
Circus Trees, Confronting Time
Born Without Bones, Baby
Pixies, Gigantic
Jane Inc., 2120
Stacey Q, Two of Hearts
New Order, Sub-Culture (Edit)
New Order, Sub-culture (Substance Edit)
The Stone Roses, Waterfall (12" Remix)
Metric, False Dichotomy
Mike Doughty, Oh My God Yeah Fuck It (feat. Moon Hooch &amp; Miss Eaves)
A Guy Called Gerald, Voodoo Ray
X, True Love, Pt. 2
XTC, The Ballad of Peter Pumpkinhead
Non Plus Temps, Continuous Hinge
Yeah Yeah Yeahs, Spitting Off The Edge Of The World feat. Perfume Genius
Arcade Fire, Everything Now (Todo Ya)
Orbital, Satan (30 Something Years Later Mix)
Messiah, Temple of Dreams
Beyoncé, SUMMER RENAISSANCE
Bee Gees, Night Fever
DJ Nu-Mark, Everybody Everybody (feat. Bacao Rhythm &amp; Steel Band)
Junior Senior, Move Your Feet
Harold Melvin &amp; The Blue Notes, Bad Luck (feat. Teddy Pendergrass)
Daft Punk, Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers)
Bad Rabbits, Dirty
Partners In Kryme, Turtle Power
Beach Slang, Spin The Dial
They Might Be Giants, The End Of The Tour
Elvis Costello, Welcome To the Working Week
Nick Lowe, So It Goes
The Only Ones, Lovers Of Today
The Jam, The Modern World
The Radiators, Song of the Faithful Departed
Belly, Angel
Pixies, Gouge Away
Orbit, Purge
Jennifer Trynin, Better Than Nothing
The New Pornographers, Letter from an Occupant
Mary's Danish, Leave It Alone
Rancid, Time Bomb
Uncle Tupelo, I Wanna Be Your Dog
Old 97's, Timebomb
Tribe, Here At The Home
Hallelujah The Hills, The House Is All Lit Up
Howard Jones, Everlasting Love
Electronic, Getting Away With It
Robert Palmer, Johnny and Mary
Men At Work, Overkill
Weakened Friends, Haunted House
Ramona Silver, Tailpipe
The Flowerpot Men, Beat City
Generation X, Ready Steady Go
Devo, Uncontrollable Urge
The Linda Lindas, Oh!
U.S. Girls, 4 American Dollars
Bruno Mars, Anderson .Paak &amp; Silk Sonic, After Last Night (with Thundercat &amp; Bootsy Collins)
Miguel, Coffee
Jamie xx, I Know There's Gonna Be (Good Times)
A Tribe Called Quest, Luck of Lucien
Peter Murphy, Strange Kind Of Love
Agent Orange, Bloodstains (Original Version)
The Box Tops, The Letter
Bus Crush, Good to Me
Sports Coach, Drifter
LUCY (Cooper B. Handy), 2nd Wind
THUS LOVE, Get Stable
sequela, Zavander
Layzi, come as you are
slow quit, Step
Drop Nineteens, Daymom
Grumpy, Saltlick
urika's bedroom, Video Music
Hildegard, Pour Your Heart Out
Molina, I am your house
Autre Ne Veut, Itchy Blood (feat. Solvey)
Contour, (re)Turn
Fabiana Palladino, Can You Look In The Mirror?
Elias Rønnenfelt, Worm Grew A Spine
Market, Bigger Problem
lots of hands, game of zeroes
Nitefire, LA's Got Gorgeous
Wishy, Planet Popstar
Man/Woman/Chainsaw, The Boss
Palomino Blond, Left
Chime School, Mercury Girl
Young Scum, See It Through
Allegra Krieger, Never Arriving
Blood, Bone Dry
Chastity Belt, That Guy
Wisp, I remember how your hands felt on mine
piri &amp; tommy, who invited u ?
DJ Seinfeld, Hopecore
SBTRKT, TURN YOUR HEART AROUND
Two Shell, be gentle with me
George Fitzgerald, Gild
Mura Masa, Shuf (Adore U)
umru &amp; Warpstr, Matter of Time
The Hellp, Stunn
Black Ends, Bent
THUS LOVE, House On A Hill
Fake Fruit, Más O Menos
Adore, Supermum!
Vundabar, I Got Cracked
Gut Health, Stiletto
Poise, Delusion
Man/Woman/Chainsaw, The Boss
Celebrity Sighting, Hourglass
It Thing, Persian Rug
Beeef, Narragansett Bay
Lady Pills, Didn't You
UV-TV, The Optimistic Wrench
The Serfs, Regen
Gamma Ray, Struck Down
Iguana Death Cult, Tiny Tears
Fuzz Lightyear, My Body
loscil, Kamouraska
Caroline Shaw &amp; Sō Percussion, Like A Drum
Greg Saunier, No One Displayed the Vigor Necessary to Avert Disaster's Approach
Pom Poko, Fumble
The High Llamas, Toriafan
Tanner Porter, Strange Light
Hatis Noit, A Caso
Caroline Davis &amp; Wendy Eisenberg, Accept When
The Lovely Eggs, Things
Soft Kill, Please Hold
Dan Rincon, Motor Rhythm, Wooden
ZDRÓJ, Zaczyn
Oren Ambarchi / Johan Berthling / Andreas Werliin, tre
Nowhere Flower, Golden Power
Oval Angle, Corporeal
Mind Over Mirrors, The Lateral Line
Thom Yorke, In The Trees
Jackson 5, The Love You Save
Bell Biv DeVoe, Poison
Bobby Brown, My Prerogative
"Weird Al" Yankovic, Dare to Be Stupid
Devo, Girl U Want (Black Light Odyssey Mix)
Tinie Tempah, Pass Out
Balkan Beat Box, Hermetico
Panjabi MC, Beware (Jay-Z Remix)
Chakachas, Jungle Fever (Original Version)
Fifth Harmony, Worth It (feat. Kid Ink)
George Michael, I Want Your Sex, Pt. 1
Prince, Eric Leeds &amp; Prince &amp; The New Power Generation, Gett Off
Grace Jones, Slave to the Rhythm
LCD Soundsystem, Dance Yrself Clean (Blutarski Slave To The Rhythm Mix)
Des'ree, You Gotta Be
Sophie B. Hawkins, Damn I Wish I Was Your Lover (Edit)
Duran Duran, Come Undone
U2, Numb (Video Remix)
The Disposable Heroes of Hiphoprisy, Television, the Drug of the Nation
Ministry, TV II
Land Of The Loops, Multi-Family Garage Sale (Bargain-Bin Mix)
Pixies, Subbacultcha
Nirvana, Scoff
Big Dipper, Wake Up the King
LIVE, Operation Spirit (The Tyranny of Tradition)
The New Pornographers, Myriad Harbour
swervedriver, Stellar Caprice
The Jesus and Mary Chain, Sometimes Always
Modest Mouse, Dashboard
Fun Boy Three, The Lunatics (Have Taken Over the Asylum)
Soul Coughing, Janine
Apostle Of Hustle, National Anthem of Nowhere
Stephen Fry, Pan Galactic Gargle Blaster
Nirvana, Molly's Lips
Children of the Flaming Wheel, Vicious Fishes
Taina Asili, No Es Mi Presidente
Portugal. The Man, Number One (feat. Richie Havens &amp; Son Little)
Puyallup Canoe Family, Power Song
Annie Humphrey, We Are Power
Resistance Revival Chorus Feat. Rhiannon Giddens, All You Fascists Bound To Lose
Peter La Farge, Hey, Mr. President
Las Cafeteras, If I Was President remix
T H R O N E, The War Is Yours
Redbone, One Monkey
Dustin Thomas, Nation of Truth
Amanda Rheaume, Death Of The American Dream
Adrian Sutherland, Rodrigo Massa, Don Politico (Politician Man)
Dead Pioneers, This is Not a Political Song
Lila Downs, Medley: Pastures Of Plenty/This Land Is Your Land/Land (feat. Ken Basman...)
Joseph Sarenhes, Stand Up
Sihasin, We the People
Renee Lamoureux, Empower
Ozomatli, Bad Moon Rising
Rhonda Head, Played
Link Wray, Rumble
Redbone, We Were All Wounded at Wounded Knee
Leonard Sumner, From the Ashes
William Prince, All I Know
Chicano Batman, Crosseyed and Painless (feat. Money Mark)
Pura Fé, Idle No More
Jessa Calderon, Home of the Brave
Nucky Jmc, Proud To Be Métis
The Jimi Hendrix Experience, All Along the Watchtower
Drezus, Get Up
Jb the First Lady, Still Here
Robbie Robertson, The Wedding
Joy Harjo, This Morning I Pray for My Enemies
Snotty Nose Rez Kids, RED FUTURE (feat. Electric Fields)
Garbage, I Think I'm Paranoid
Rockwell, Somebody's Watching Me
Faithless, Insomnia (Remix)
Beck, Dreams
Black Sabbath, Paranoid
Men At Work, Who Can It Be Now?
Save Ferris, Superspy
Imogen Heap, Hide and Seek
New Order, Shellshock
Joy Division, She's Lost Control
The Asteroids Galaxy Tour, Around the Bend
Telekinesis, Please Ask for Help
Pixies, Where Is My Mind?
The Neighbourhood, Let It Go
Taylor Swift, Shake It Off
Cults, Abducted
Tears for Fears, Break It Down Again
Spoon, I Turn My Camera On
Elbow, Grounds for Divorce
Lizzo, Truth Hurts
San Cisco, Awkward (EP Version)
Phoenix, Trying To Be Cool
Stereo MC's, Step it Up
Julian Casablancas, 11th Dimension
Violent Femmes, Gone Daddy Gone
Oingo Boingo, Just Another Day
The Vaccines, If You Wanna
Nine Inch Nails, Kinda I Want To
Depeche Mode, Sea Of Sin (Tonal Mix)
Monster Magnet, Black Celebration
Candace &amp; Baljeet and Buford, In the Empire
Lucius, Let's Dance
Gregtronic, Greg Wymer
Rising Appalachia, Texas Hold 'Em
Trixie Mattel, Jackson (w/ Orville Peck)
Josiah and The Bonnevilles, Good Luck Babe
95COROLLA, HOT TO GO
RVG, Pet Semetary
Megadeth, These Boots
Rustic Overtones, Hardest Way Possible
They Might Be Giants, New York City
Bedouine, Hurray For the Riff Raff &amp; Waxahatchee, Thirteen
Samia &amp; Jelani Aryeh, The Promise
Madonna, Love Don't Live Here Anymore
Teenage Fanclub, Like a Virgin
Zolof the Rock &amp; Roll Destroyer, Dress You Up (w/ Aaron Barrett)
Ned's Atomic Dustbin, Saturday Night
Glenn Brennan, Cheers
Fu Manchu, Godzilla
Booker T. Jones, The Seed
Jenny Dee &amp; The Deelinquents, Teenage Kicks
The Shamen, Sweet Young Thing
The Monkees, Gonna Buy Me a Dog
Franz Ferdinand, What You Waiting For?
Le Tigre, I'm So Excited
Giorgio Moroder, Tom's Diner (feat. Britney Spears)
Eve St. Jones, All Night Long (All Night) (Dataset Remix)
The Puppini Sisters, Work It
Maya Delilah, Harvest Moon
dream tiger, Control
Scout Niblett, No Scrubs
Blue Man Group, Baba O'Riley (live)
Placebo, Bigmouth Strikes Again
Good News, Orange Juice In The Shower
Detergente Líquido, Trambahía
Pozi, Faulty Receiver
Kleenex, DC-10
Grazia, Cheap
Morgan Noise, I Put Everything
Desperate Journalist, 7
Pom Poko, Growing Story
Fire Engines, Everyhing's Roses
His Electro Blue Voice, By Chance
KEG, Sate The Worm
GHLOW, Lost My Mind
Enumclaw, Not Just Yet
Girl Ultra, 5to elemento
Lush, Second Sight
Lilys, Timber
Drop Nineteens, Winona
Mhaol, Pursuit
Drahla, Grief In Phantasia
Milli Vanilli, Blame It on the Rain
Billie Eilish, BIRDS OF A FEATHER
Jon Secada, Just Another Day
Crowded House, Don't Dream It's Over
Chappell Roan, Good Luck, Babe!
Roxette, It Must Have Been Love
Wham!, Club Tropicana
Timex Social Club, Rumors
Pretty Poison, Catch Me (I'm Falling)
JADE, Angel Of My Dreams
maura dot com, A Working Theory Of Clerks-Core
Fake Fruit, Well Song
Dry Cleaning, Her Hippo
Hot Hot Heat, 5 Times Out Of 100
The Rondelles, Revenge
Cotton Candy, M-A-U-R-A
Gary Portnoy, ‘Cheers’ End Credits
Pixies, Mr. Grieves
Boss Hog, I'm Not Like Everybody Else
Arcade Fire, Keep The Car Running
Jimmy Ryan, Love Vigilantes
Led Zeppelin, The Battle of Evermore
LCD Soundsystem, 45:33 (Runaway Remix)
ABBA, Knowing Me, Knowing You
Pavement, Gold Soundz
Hallelujah The Hills, To All My Scientist Colleagues I Bid You Farewell
Minutemen, Maybe Partying Will Help
The Tragically Hip, My Music At Work
Clinic, Walking With Thee
The Flaming Lips, Waitin' for a Superman (Mokran Mix)
Roberta Flack, Compared to What
Undisputed Truth, Smiling Faces Sometimes
The Animals, We Gotta Get Out of This Place (US Single Version)
The Clash, I'm Not Down
James Brown, Get Up, Get Into It, Get Involved (Pt. 1 &amp; 2 / Mono)
Television Personalities, Part Time Punks
Cock Sparrer, Where Are They Now
Violent Femmes, He Likes Me
Old 97's, Timebomb
Ezra Furman And The Harpoons, I Wanna Be Ignored
Guadalcanal Diary, Watusi Rodeo (LP Version)
The New Pornographers, Letter from an Occupant
Beck, Loser
Robin Lane &amp; The Chartbusters, When Things Go Wrong
Boston, Let Me Take You Home Tonight
Billy Squier, Lonely Is The Night
The J. Geils Band, Must of Got Lost
Peter Gabriel, I Have the Touch (Robbie Robertson Mix)
The Crystal Ark, Tusk
R.E.M., The Sidewinder Sleeps Tonite
Liquid Liquid, Cavern
Army Of Lovers, Crucified
Dead or Alive, Brand New Lover
Curses, Another Heaven
Humanoid, Stakker Humanoid
Bistro Boy, Little Streams
America, Ventura Highway
Ali Thomson, Take A Little Rhythm
Christopher Owens, I Think about Heaven
Shoes, Your Very Eyes
Bistro Boy, Cicadas
Felt, Primitive Painters
Desperate Journalist, Afraid
The Cranberries, Waltzing Back
Cocteau Twins, Heaven or Las Vegas
Bistro Boy, Tails Of The Wind
The Psychedelic Furs, Heaven
The Church, Tantalized
Black Doldrums, Summer Breeze
The Bangles, In A Different Light
bistro boy, Come Slow You Breeze
Dodgy, Good Enough
Blur, Tracy Jacks
Gene, Fighting Fit
Shake Some Action!, Spend Your Days in the Sunshine
The Colour Field, Can't Get Enough Of You Baby
Bistro Boy, Colour Arrows
Dead Kennedys, Too Drunk To Fuck
Human Switchboard, Who's Landing in My Hangar?
PYPY, I Am A Simulation
Von Lmo, this is poprock
Devo, Uncontrollable Urge
Bistro Boy, Lonely Sparkles
The Gap Band, Party Train
Michael Jackson, Get On the Floor
Earth, Wind &amp; Fire, Let's Groove
Technotronic, Get Up (Before the Night Is Over)
Sophie Ellis-Bextor, Murder On the Dance Floor (Jewels &amp; Stone Remix)
Dua Lipa &amp; The Blessed Madonna, Levitating (feat. Madonna and Missy Elliott)
Madonna, Vogue
Janet Jackson, Escapade
Janelle Monáe, Make Me Feel
Prince &amp; The Revolution, Kiss
Billy Ocean, Caribbean Queen (No More Love On The Run)
Epoxies, Need More Time
Hot Chip, No Fit State (Edit)
Nick Lowe, So It Goes
T. Rex, Children Of The Revolution
Discovery, So Insane
Robyn, Missing U
Richie Havens, Going Back to My Roots
Flight Of The Conchords, Robots
Liquid Liquid, Bellhead
Gary Numan &amp; Tubeway Army, We Have a Technical
The Killers, Human
Daft Punk, Human After All
The City of Prague Philharmonic Orchestra, 2001: A Space Odyssey (Also Sprach Zarathustra)
XTC, Senses Working Overtime
The Both, Volunteers of America
Billy Bragg, A New England
Bruce Springsteen, Spirit In The Night
Steely Dan, Deacon Blues
The Police, King of Pain
U2, MLK
The Smiths, Death of a Disco Dancer
Stevie Nicks, Edge of Seventeen
Lucius, Let's Dance
Gregtronic, Greg Wymer
Rising Appalachia, Texas Hold 'Em
Trixie Mattel, Jackson (w/ Orville Peck)
Josiah and The Bonnevilles, Good Luck Babe
95COROLLA, HOT TO GO
RVG, Pet Semetary
Megadeth, These Boots
Rustic Overtones, Hardest Way Possible
They Might Be Giants, New York City
Bedouine, Hurray For the Riff Raff &amp; Waxahatchee, Thirteen
Samia &amp; Jelani Aryeh, The Promise
Madonna, Love Don't Live Here Anymore
Teenage Fanclub, Like a Virgin
Zolof the Rock &amp; Roll Destroyer, Dress You Up (w/ Aaron Barrett)
Ned's Atomic Dustbin, Saturday Night
Glenn Brennan, Cheers
Fu Manchu, Godzilla
Booker T. Jones, The Seed
Jenny Dee &amp; The Deelinquents, Teenage Kicks
The Shamen, Sweet Young Thing
The Monkees, Gonna Buy Me a Dog
Franz Ferdinand, What You Waiting For?
Le Tigre, I'm So Excited
Giorgio Moroder, Tom's Diner (feat. Britney Spears)
Eve St. Jones, All Night Long (All Night) (Dataset Remix)
The Puppini Sisters, Work It
Maya Delilah, Harvest Moon
dream tiger, Control
Scout Niblett, No Scrubs
Blue Man Group, Baba O'Riley (live)
Placebo, Bigmouth Strikes Again
Sunsquabi, Grind
The Blues Project, Flute Thing
Beastie Boys, Ricky's Theme
Karen O &amp; Danger Mouse, Super Breath
Holy Ghost!, Nancy Whang &amp; The Juan MacLean, I Wanted to Tell Her
LAVA LA RUE, Hi-Fidelity (feat. Biig Piig)
Tinariwen, Amoss Idjraw
Los Bitchos, Talkie Talkie
PawPaw Rod, Glass House
The Herbaliser, Mrs Chombee Takes the Plunge (DJ Food re-bake)
SAMEKA, First Song
Sunbörn, Dancing in the Dusk
Maribou State &amp; Holly Walker, Otherside
Teddy Roxpin, Smile High &amp; Felty, the first new color in eons
The Disposable Heroes of Hiphoprisy, Television, the Drug of the Nation
MC 900 Ft Jesus, If I Only Had a Brain (album version)
The Pharcyde, Passin' Me By (Fly as Pie Mix)
Quincy Jones, Summer In the City
George Benson, Give Me the Night
Oscar Brown Jr., Mr. Kicks
Clark Terry, Swahili
Chaka Khan &amp; Rufus, Do You Love What You Feel
Michael Jackson, Baby Be Mine
The Brothers Johnson, Stomp
Interview Clip, BBC Interview with Quincy Jones
Quincy Jones, Getta Bloomin' Move On! (The Self Preservation Society)
Interview Clip, Interview with Quincy Jones
Ginger Root, Loretta (日本語 version)
Dirtwire, Snoozlebug
Jamiroquai, Didjital Vibrations
Omoide, Tsunekichi Suzuki
Beck, The Golden Age
The National, Sorrow
Hamilton Leithauser &amp; Rostam, In a Black Out
Radiohead, No Surprises
Laurie Anderson, O Superman
Yes, I've Seen All Good People: A. Your Move, B: All Good People
Rick Wakeman, Arthur
Elton John, Funeral for a Friend / Love Lies Bleeding
Kate Bush, Running Up That Hill (A Deal With God)
Paul McCartney &amp; Wings, Goodnight Tonight
Grateful Dead, Touch of Grey
Cat Stevens, Here Comes My Baby
Tom Petty &amp; The Heartbreakers, Here Comes My Girl
Eurythmics, Here Comes the Rain Again
The Beatles, Here, There and Everywhere
Hanson, MMMBop
Donna Lewis, I Love You Always Forever
Scatman John, Scatman (ski-ba-bop-ba-dop-bop)
Baltimora, Tarzan Boy
Umberto Tozzi, Gloria
t.A.T.u, All The Things She Said
Andreas Vollenweider, Stella
No Sun, Nazi Punks Fuck off
Treebones, Autumn
Shoplifting, Teeth
Open Head, Catacomb
Cruelly, No Doubt
